weekday_label,hour_of_day,avg_speed_kmh
weekday,0.0,39.8988107704449
weekday,1.0,40.13135615822163
weekday,2.0,40.40585171656593
weekday,3.0,40.39460417121524
weekday,4.0,40.68164866861323
weekday,5.0,40.666725290583756
weekday,6.0,39.37485912510784
weekday,7.0,36.27953995418633
weekday,8.0,35.08191426500151
weekday,9.0,36.53038047901031
weekday,10.0,37.147468747237326
weekday,11.0,37.84128512716783
weekday,12.0,38.33756233825165
weekday,13.0,38.1113138512873
weekday,14.0,37.787148507601586
weekday,15.0,37.55768200743137
weekday,16.0,36.996252097674
weekday,17.0,35.1073097217184
weekday,18.0,34.84460681447213
weekday,19.0,36.553469740120214
weekday,20.0,37.16236861892008
weekday,21.0,38.01992422170426
weekday,22.0,38.82671333968225
weekday,23.0,39.39773878440206
weekend,0.0,39.47736670250603
weekend,1.0,39.7950963026373
weekend,2.0,39.7121300912524
weekend,3.0,40.146831894931324
weekend,4.0,40.81145645495429
weekend,5.0,40.810322269936925
weekend,6.0,39.96099062144432
weekend,7.0,39.07518089064225
weekend,8.0,37.86626532762256
weekend,9.0,36.8258857732149
weekend,10.0,36.35953965363841
weekend,11.0,36.74188886819926
weekend,12.0,37.31604548373315
weekend,13.0,37.13530680178029
weekend,14.0,36.73612946550488
weekend,15.0,36.366169429059454
weekend,16.0,36.08716253852326
weekend,17.0,35.97853342553359
weekend,18.0,36.63380126958969
weekend,19.0,37.506375789897014
weekend,20.0,37.54715158875846
weekend,21.0,38.268068271033435
weekend,22.0,38.77227203644328
weekend,23.0,39.190596193199234
