weekday_label,hour_of_day,asym_ratio
weekday,0.0,0.08539053938552987
weekday,1.0,0.08697446779683086
weekday,2.0,0.09095737483463452
weekday,3.0,0.09079529345400031
weekday,4.0,0.0868976762116119
weekday,5.0,0.08632787359753422
weekday,6.0,0.09339021939175653
weekday,7.0,0.1400903551179411
weekday,8.0,0.16105500370449458
weekday,9.0,0.11886998944862233
weekday,10.0,0.09761374351953674
weekday,11.0,0.08804904272036669
weekday,12.0,0.08411675853169791
weekday,13.0,0.08540736262583183
weekday,14.0,0.08711132118013445
weekday,15.0,0.08863470378491288
weekday,16.0,0.09791647105880788
weekday,17.0,0.1359532866706887
weekday,18.0,0.1497566853157698
weekday,19.0,0.11133589407791859
weekday,20.0,0.09426238254324194
weekday,21.0,0.08793536889842664
weekday,22.0,0.08782482457551154
weekday,23.0,0.09095518381867351
weekend,0.0,0.0934672912840274
weekend,1.0,0.09228737481207562
weekend,2.0,0.09678874375278787
weekend,3.0,0.09526114536256551
weekend,4.0,0.09236373700842965
weekend,5.0,0.09166690313920119
weekend,6.0,0.08521709998880872
weekend,7.0,0.08742292814285998
weekend,8.0,0.09111251858620947
weekend,9.0,0.0985570950034713
weekend,10.0,0.10715214704127564
weekend,11.0,0.10112678815897029
weekend,12.0,0.0934074694774399
weekend,13.0,0.09660035655363178
weekend,14.0,0.1018438715030861
weekend,15.0,0.10719303671081301
weekend,16.0,0.11475901472079075
weekend,17.0,0.11899928273610719
weekend,18.0,0.1113237544644573
weekend,19.0,0.09131925734829932
weekend,20.0,0.08336488998433415
weekend,21.0,0.08649219343489276
weekend,22.0,0.08839140895504348
weekend,23.0,0.08904016056828348
