Panel,Variable,Mean,SD,Median
Panel A. Grid-level,Residents,2372.078641644325,6556.008274022088,74.0
Panel A. Grid-level,Workers,2372.078641644325,8468.07595044556,61.0
Panel A. Grid-level,Area (km2),8.38290664626572,1.92220862170143,9.0
Panel A. Grid-level,Distance to city center (km),77.5386541667659,35.95826188515281,76.1708735729278
Panel B. Segment-level,Length (m),389.78171674924596,1585.561039929769,7.0710678118654755
Panel B. Segment-level,Number of lanes,3.1747209973337123,1.1768814841029436,3.6145925262263767
Panel B. Segment-level,Average speed (km/h),37.33485948672768,11.874359222361006,34.39660806897872
Panel B. Segment-level,Morning peak speed (km/h),35.39623956284595,12.34154097782617,32.371242871285375
Panel B. Segment-level,Evening peak speed (km/h),33.958355809733426,12.595673476814989,31.144559260676743
Panel B. Segment-level,Asymmetry ratio,0.1916926285439257,0.1735559664529301,0.1308299730461682
