grid_id,node_i,node_i_old,node_i_aa_1based
sq_10_16,0,0,1
sq_10_17,1,1,2
sq_10_18,2,2,3
sq_10_19,3,3,4
sq_10_20,4,4,5
sq_10_21,5,5,6
sq_10_22,6,6,7
sq_10_23,7,7,8
sq_10_24,8,8,9
sq_10_25,9,9,10
sq_10_26,10,10,11
sq_10_27,11,11,12
sq_10_28,12,12,13
sq_10_29,13,13,14
sq_10_30,14,14,15
sq_10_31,15,15,16
sq_10_32,16,16,17
sq_10_33,17,17,18
sq_10_34,18,18,19
sq_10_35,19,19,20
sq_10_36,20,20,21
sq_10_37,21,21,22
sq_10_39,22,22,23
sq_10_40,23,23,24
sq_10_41,24,24,25
sq_10_42,25,25,26
sq_10_43,26,26,27
sq_10_44,27,27,28
sq_10_45,28,28,29
sq_10_46,29,29,30
sq_10_47,30,30,31
sq_10_48,31,31,32
sq_10_50,32,32,33
sq_10_51,33,33,34
sq_11_18,34,34,35
sq_11_19,35,35,36
sq_11_20,36,36,37
sq_11_21,37,37,38
sq_11_22,38,38,39
sq_11_23,39,39,40
sq_11_24,40,40,41
sq_11_25,41,41,42
sq_11_26,42,42,43
sq_11_27,43,43,44
sq_11_29,44,44,45
sq_11_30,45,45,46
sq_11_31,46,46,47
sq_11_32,47,47,48
sq_11_33,48,48,49
sq_11_35,49,49,50
sq_11_36,50,50,51
sq_11_37,51,51,52
sq_11_38,52,52,53
sq_11_39,53,53,54
sq_11_40,54,54,55
sq_11_41,55,55,56
sq_11_42,56,56,57
sq_11_43,57,57,58
sq_11_44,58,58,59
sq_11_45,59,59,60
sq_11_46,60,60,61
sq_11_47,61,61,62
sq_11_48,62,62,63
sq_11_49,63,63,64
sq_11_50,64,64,65
sq_11_51,65,65,66
sq_11_52,66,66,67
sq_11_53,67,67,68
sq_11_54,68,68,69
sq_12_20,69,69,70
sq_12_21,70,70,71
sq_12_22,71,71,72
sq_12_23,72,72,73
sq_12_25,73,73,74
sq_12_26,74,74,75
sq_12_27,75,75,76
sq_12_28,76,76,77
sq_12_29,77,77,78
sq_12_30,78,78,79
sq_12_31,79,79,80
sq_12_32,80,80,81
sq_12_33,81,81,82
sq_12_34,82,82,83
sq_12_35,83,83,84
sq_12_36,84,84,85
sq_12_39,85,85,86
sq_12_40,86,86,87
sq_12_41,87,87,88
sq_12_42,88,88,89
sq_12_43,89,89,90
sq_12_44,90,90,91
sq_12_45,91,91,92
sq_12_46,92,92,93
sq_12_47,93,93,94
sq_12_48,94,94,95
sq_12_50,95,95,96
sq_12_51,96,96,97
sq_12_52,97,97,98
sq_12_53,98,98,99
sq_12_54,99,99,100
sq_13_10,100,100,101
sq_13_11,101,101,102
sq_13_12,102,102,103
sq_13_20,103,103,104
sq_13_21,104,104,105
sq_13_22,105,105,106
sq_13_23,106,106,107
sq_13_24,107,107,108
sq_13_25,108,108,109
sq_13_26,109,109,110
sq_13_27,110,110,111
sq_13_28,111,111,112
sq_13_29,112,112,113
sq_13_30,113,113,114
sq_13_31,114,114,115
sq_13_32,115,115,116
sq_13_33,116,116,117
sq_13_34,117,117,118
sq_13_35,118,118,119
sq_13_36,119,119,120
sq_13_37,120,120,121
sq_13_38,121,121,122
sq_13_39,122,122,123
sq_13_41,123,123,124
sq_13_42,124,124,125
sq_13_43,125,125,126
sq_13_44,126,126,127
sq_13_45,127,127,128
sq_13_46,128,128,129
sq_13_47,129,129,130
sq_13_48,130,130,131
sq_13_49,131,131,132
sq_13_50,132,132,133
sq_13_51,133,133,134
sq_13_52,134,134,135
sq_13_53,135,135,136
sq_13_54,136,136,137
sq_13_9,137,137,138
sq_14_10,138,138,139
sq_14_11,139,139,140
sq_14_12,140,140,141
sq_14_19,141,141,142
sq_14_20,142,142,143
sq_14_21,143,143,144
sq_14_22,144,144,145
sq_14_23,145,145,146
sq_14_24,146,146,147
sq_14_25,147,147,148
sq_14_26,148,148,149
sq_14_27,149,149,150
sq_14_28,150,150,151
sq_14_29,151,151,152
sq_14_30,152,152,153
sq_14_31,153,153,154
sq_14_32,154,154,155
sq_14_33,155,155,156
sq_14_34,156,156,157
sq_14_35,157,157,158
sq_14_36,158,158,159
sq_14_37,159,159,160
sq_14_38,160,160,161
sq_14_39,161,161,162
sq_14_40,162,162,163
sq_14_41,163,163,164
sq_14_42,164,164,165
sq_14_43,165,165,166
sq_14_44,166,166,167
sq_14_45,167,167,168
sq_14_46,168,168,169
sq_14_47,169,169,170
sq_14_48,170,170,171
sq_14_50,171,171,172
sq_14_51,172,172,173
sq_14_52,173,173,174
sq_14_53,174,174,175
sq_14_54,175,175,176
sq_14_7,176,176,177
sq_14_8,177,177,178
sq_14_9,178,178,179
sq_15_0,179,179,180
sq_15_12,180,180,181
sq_15_13,181,181,182
sq_15_2,182,182,183
sq_15_20,183,183,184
sq_15_21,184,184,185
sq_15_22,185,185,186
sq_15_23,186,186,187
sq_15_24,187,187,188
sq_15_25,188,188,189
sq_15_26,189,189,190
sq_15_27,190,190,191
sq_15_28,191,191,192
sq_15_29,192,192,193
sq_15_3,193,193,194
sq_15_30,194,194,195
sq_15_31,195,195,196
sq_15_32,196,196,197
sq_15_33,197,197,198
sq_15_34,198,198,199
sq_15_35,199,199,200
sq_15_36,200,200,201
sq_15_37,201,201,202
sq_15_38,202,202,203
sq_15_39,203,203,204
sq_15_40,204,204,205
sq_15_41,205,205,206
sq_15_42,206,206,207
sq_15_43,207,207,208
sq_15_44,208,208,209
sq_15_45,209,209,210
sq_15_46,210,210,211
sq_15_47,211,211,212
sq_15_48,212,212,213
sq_15_49,213,213,214
sq_15_50,214,214,215
sq_15_51,215,215,216
sq_15_52,216,216,217
sq_15_53,217,217,218
sq_15_54,218,218,219
sq_15_6,219,219,220
sq_15_7,220,220,221
sq_16_0,221,221,222
sq_16_1,222,222,223
sq_16_12,223,223,224
sq_16_13,224,224,225
sq_16_2,225,225,226
sq_16_20,226,226,227
sq_16_21,227,227,228
sq_16_22,228,228,229
sq_16_23,229,229,230
sq_16_24,230,230,231
sq_16_25,231,231,232
sq_16_26,232,232,233
sq_16_27,233,233,234
sq_16_28,234,234,235
sq_16_29,235,235,236
sq_16_3,236,236,237
sq_16_30,237,237,238
sq_16_31,238,238,239
sq_16_32,239,239,240
sq_16_33,240,240,241
sq_16_34,241,241,242
sq_16_35,242,242,243
sq_16_36,243,243,244
sq_16_37,244,244,245
sq_16_38,245,245,246
sq_16_39,246,246,247
sq_16_4,247,247,248
sq_16_40,248,248,249
sq_16_41,249,249,250
sq_16_42,250,250,251
sq_16_45,251,251,252
sq_16_46,252,252,253
sq_16_47,253,253,254
sq_16_48,254,254,255
sq_16_5,255,255,256
sq_16_50,256,256,257
sq_16_51,257,257,258
sq_16_52,258,258,259
sq_16_54,259,259,260
sq_16_55,260,260,261
sq_16_56,261,261,262
sq_16_6,262,262,263
sq_17_13,263,263,264
sq_17_14,264,264,265
sq_17_15,265,265,266
sq_17_16,266,266,267
sq_17_17,267,267,268
sq_17_18,268,268,269
sq_17_20,269,269,270
sq_17_21,270,270,271
sq_17_22,271,271,272
sq_17_23,272,272,273
sq_17_24,273,273,274
sq_17_25,274,274,275
sq_17_26,275,275,276
sq_17_27,276,276,277
sq_17_28,277,277,278
sq_17_29,278,278,279
sq_17_31,279,279,280
sq_17_32,280,280,281
sq_17_33,281,281,282
