edge_i,edge_j,chi_hat_asym,mean_lr_hat_asym,std_lr_hat_asym,mean_lf_hat_asym,std_lf_hat_asym,chi_hat_sym,mean_lr_hat_sym,std_lr_hat_sym,mean_lf_hat_sym,std_lf_hat_sym,d_chi_hat,d_mean_lr_hat,d_mean_lf_hat
13.0,14.0,0.9999999959621088,0.999999998835161,5.649668728061055e-06,1.0000000962245468,7.356784975208965e-06,0.9999999958832192,0.9999999987894093,5.74254701790602e-06,1.0000000977849006,7.477895098367852e-06,7.88895615499996e-11,4.575173573329039e-11,-1.5603538461306243e-09
14.0,13.0,0.9999999947944014,1.0000001277005244,8.474948386799193e-06,0.9999999859586847,3.8501868649418e-06,0.9999999948652276,1.000000125681026,8.341884098947484e-06,0.9999999861823528,3.7895288054006107e-06,-7.082623376675201e-11,2.019498346328419e-09,-2.2366808405394067e-10
14.0,15.0,0.9999999953869008,1.0000001040745934,6.3193202254273e-06,0.9999999745446241,2.392611786784965e-06,0.9999999953184046,1.0000001057833263,6.423906226866527e-06,0.9999999741262605,2.432258404822937e-06,6.84962087049712e-11,-1.7087329329257273e-09,4.1836356601265834e-10
15.0,14.0,0.9999999965166724,0.9999999640781714,3.958863803103818e-06,1.000000085970772,6.016268225183299e-06,0.9999999965058742,0.9999999646297664,3.896426835636338e-06,1.0000000845943355,5.921335888026161e-06,1.0798140159806735e-11,-5.515949919043805e-10,1.3764365203172702e-09
15.0,16.0,0.99999999,1.000000006599423,2.325477356735849e-06,0.9999999923027612,1.1053471442464107e-06,0.99999999,1.000000006801336,2.3920624089028168e-06,0.99999999206564,1.1369796220890948e-06,0.0,-2.0191293081950334e-10,2.3712110053253355e-10
15.0,67.0,1.000000003036186,0.9999999844792161,3.1730736157913463e-06,1.000000048013041,3.6851865869677543e-06,1.0000000141679666,0.9999999840490005,3.269979623961489e-06,1.0000000494474544,3.797849672063614e-06,-1.1131780608408803e-08,4.3021564088974174e-10,-1.4344132548416155e-09
16.0,15.0,0.9999999959822092,1.000000001942174,6.955414505587795e-07,1.0000000072418394,6.23372800880505e-07,0.9999999956220412,1.0000000021298965,7.602260364933901e-07,1.0000000079256117,6.813120158137131e-07,3.6016800653015935e-10,-1.8772250420795444e-10,-6.837723720565236e-10
16.0,18.0,0.9999999971818844,1.0000000030198926,5.347353419021048e-07,0.9999999970897829,3.224964021480395e-07,0.9999999972832574,1.0000000039856778,6.929262533092979e-07,0.9999999961017209,4.1930320463670575e-07,-1.0137302108859103e-10,-9.65785229567473e-10,9.880620766011816e-10
16.0,68.0,0.99999999751765,0.9999999900782568,1.287849419360052e-06,1.0000000384691445,2.2794440380804635e-06,0.999999998045776,0.9999999903714912,1.250404694799121e-06,1.000000037353231,2.2134287913416454e-06,-5.281259873868294e-10,-2.9323443673234806e-10,1.1159135837601752e-09
18.0,16.0,0.9999999970212,0.9999999969851653,3.649814340543988e-07,1.0000000029691645,5.291722458257958e-07,0.9999999971980322,0.9999999961819568,4.4794506389203175e-07,1.0000000036773016,6.45057518892612e-07,-1.7683221553710382e-10,8.03208499711161e-10,-7.081371045103424e-10
18.0,19.0,0.9999999975128824,0.9999999992899408,1.8615724411219563e-07,1.0000000021856084,1.7084327480917233e-07,0.9999999941430182,0.9999999990318299,2.4587027748833696e-07,1.0000000029803426,2.2565356073669585e-07,3.3698641654922312e-09,2.581108660137943e-10,-7.947342783864997e-10
18.0,70.0,0.9999999976221692,0.9999999999234352,2.085272791744132e-07,0.9999999964435946,9.781152781835692e-08,0.9999999973207052,0.9999999998861552,3.004525958158797e-07,0.9999999947096274,1.4092573162439336e-07,3.0146396490238203e-10,3.728006792158567e-11,1.7339671920524324e-09
19.0,18.0,0.99999999,0.9999999908266052,1.1691206155245282e-06,0.9999999932037906,4.993762972842827e-07,0.99999999,0.999999990226145,1.2436329388471616e-06,0.9999999927476539,5.31262827176862e-07,0.0,6.004601260656273e-10,4.5613668397948004e-10
19.0,71.0,0.99999999,0.999999992153245,1.1635312228970874e-06,0.9999999927851572,4.0761890350906176e-07,0.99999999,0.9999999916413611,1.2376824508265401e-06,0.9999999923013868,4.3365419423272854e-07,0.0,5.118838686257732e-10,4.837703571070051e-10
20.0,21.0,0.99999999,1.000000122383053,8.720715362473794e-06,0.9999999589738466,3.3820970859342897e-06,0.99999999,1.0000001233747056,8.802893664115567e-06,0.9999999585209369,3.434133690098441e-06,0.0,-9.916525378628194e-10,4.5290970973610456e-10
20.0,72.0,0.99999999,1.0000001195544106,9.696495996661237e-06,0.9999999265988755,4.749669559513213e-06,0.99999999,1.0000001128841978,9.15651559603196e-06,0.9999999306932055,4.4837958670238166e-06,0.0,6.670212826520583e-09,-4.0943299861595506e-09
21.0,20.0,0.9999999972492576,0.9999999870847032,2.3399243320941625e-06,1.000000054668772,3.585266994677413e-06,0.9999999979144302,0.9999999862489392,2.4109317212540813e-06,1.0000000569410565,3.726364315673741e-06,-6.651725836803735e-10,8.357640135514544e-10,-2.272284582716111e-09
21.0,22.0,0.9999999881110052,1.0000000038403598,1.9074650878342657e-06,1.0000000195509613,1.7412883897822716e-06,0.99999999093953,1.0000000038093861,1.8815560798256817e-06,1.000000019811004,1.7502162993427569e-06,-2.828524747755523e-09,3.097366807480739e-11,-2.6004265407664207e-10
21.0,73.0,0.99999999,1.0000000163073854,1.98313017733509e-06,0.9999999908731602,7.612735166657987e-07,0.999999980408678,1.0000001470289908,1.778330893071888e-05,0.9999999135375159,7.2670568364666245e-06,9.591321958879462e-09,-1.3072160531812926e-07,7.733564422185424e-08
22.0,21.0,0.99999999,1.0000000392315285,4.680471870154987e-06,0.999999986547611,2.065881287781045e-06,0.99999999,1.0000000410210055,4.917045164602018e-06,0.9999999858582246,2.193514994968228e-06,0.0,-1.7894770110160607e-09,6.893864368251457e-10
22.0,23.0,1.0000000053810745,1.0000000029727998,3.7734330458613576e-06,1.0000000544750447,4.09120089937286e-06,1.0000000094408048,1.000000003092974,3.943427071679e-06,1.0000000568547989,4.272474190369364e-06,-4.0597303296863174e-09,-1.2017431494371067e-10,-2.379754171499826e-09
22.0,74.0,0.99999999,1.0000000292473645,3.6951890727541155e-06,0.9999999978892614,1.7614757115236126e-06,0.99999999,1.000000029477013,3.736539782962586e-06,0.9999999976878037,1.7851657817677879e-06,0.0,-2.29648522420689e-10,2.0145773937940703e-10
23.0,22.0,0.99999999,1.0000003267693152,2.0987305321013776e-05,0.9999998809859914,7.805084081701919e-06,0.99999999,1.000000318458674,2.0450208932667587e-05,0.9999998839557221,7.6004991036466226e-06,0.0,8.310641064213087e-09,-2.9697307946108253e-09
23.0,75.0,0.99999999,1.0000004131198201,2.5867373362030008e-05,0.9999998231589414,9.53181903760037e-06,0.99999999,1.000000381615551,2.390826585877288e-05,0.9999998359882989,8.841210726709696e-06,0.0,3.150426919340532e-08,-1.2829357465271585e-08
24.0,25.0,0.9999999951127964,1.000000103924593,7.559478856126712e-06,1.0000000061693224,3.979466014994233e-06,0.9999999955200054,1.0000000995406944,7.242721951204679e-06,1.0000000056278358,3.812422173095907e-06,-4.0720904426194693e-10,4.383898577486889e-09,5.414866333097734e-10
24.0,76.0,0.99999999,1.0000001262624265,7.619184916965638e-06,0.9999999493522845,2.836167088621503e-06,0.9999999947309048,1.0000001065383122,6.425486598755727e-06,0.9999999577795641,2.3656570247190658e-06,-4.730904890060117e-09,1.9724114341812538e-08,-8.427279540867971e-09
